Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17
Méra,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,Sátoraljaújhely,"5","5","356364.78","1981433741.63",,,,,,,,,
Merenye,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Mérges,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 3. számú egyéni választókerület,Csorna,"3","3","278671.79","1458283441.58",,,,,,,,,
Mérk,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 6. számú egyéni választókerület,Nyírbátor,"6","6","252712.99","1327233312.92",,,,,,,,,
Mernye,Somogy megye,Somogy megye 4. számú egyéni választókerület,Siófok,"4","4","241496.61","1517737700.32",,,,,,,,,
Mersevát,Vas megye,Vas megye 2. számú egyéni választókerület,Sárvár,"2","2","257181.03","1198863917.81",,,,,,,,,
Mesterháza,Vas megye,Vas megye 2. számú egyéni választókerület,Sárvár,"2","2","257181.03","1198863917.81",,,,,,,,,
Mesteri,Vas megye,Vas megye 2. számú egyéni választókerület,Sárvár,"2","2","257181.03","1198863917.81",,,,,,,,,
Mesterszállás,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 4. számú egyéni választókerület,Törökszentmiklós,"4","4","282833.03","1518894211.23",,,,,,,,,
Meszes,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,Kazincbarcika,"4","4","256041.3","1154765077.9",,,,,,,,,
Meszlen,Vas megye,Vas megye 2. számú egyéni választókerület,Sárvár,"2","2","257181.03","1198863917.81",,,,,,,,,
Mesztegnyő,Somogy megye,Somogy megye 3. számú egyéni választókerület,Marcali,"3","3","241544.76","1849815082.56",,,,,,,,,
Mezőberény,Békés megye,Békés megye 2. számú egyéni választókerület,Békés,"2","2","301741.74","1712972309.7",,,,,,,,,
Mezőcsát,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87",,,,,,,,,
Mezőcsokonya,Somogy megye,Somogy megye 3. számú egyéni választókerület,Marcali,"3","3","241544.76","1849815082.56",,,,,,,,,
Meződ,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Mezőfalva,Fejér megye,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9",,,,,,,,,
Mezőgyán,Békés megye,Békés megye 3. számú egyéni választókerület,Gyula,"3","3","346829.19","1552084181.41",,,,,,,,,
Mezőhegyes,Békés megye,Békés megye 4. számú egyéni választókerület,Orosháza,"4","4","243942.22","1650630924.98",,,,,,,,,
Mezőhék,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 4. számú egyéni választókerület,Törökszentmiklós,"4","4","282833.03","1518894211.23",,,,,,,,,
Mezőkeresztes,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87",,,,,,,,,
Mezőkomárom,Fejér megye,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9",,,,,,,,,
Mezőkovácsháza,Békés megye,Békés megye 4. számú egyéni választókerület,Orosháza,"4","4","243942.22","1650630924.98",,,,,,,,,
Mezőkövesd,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87",,,,,,,,,
Mezőladány,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 3. számú egyéni választókerület,Kisvárda,"3","3","214781.28","961349337.84",,,,,,,,,
Mezőlak,Veszprém megye,Veszprém megye 4. számú egyéni választókerület,Pápa,"4","4","327462.86","1667936709.63",,,,,,,,,
Mezőnagymihály,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87",,,,,,,,,
Mezőnyárád,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87",,,,,,,,,
Mezőörs,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 2. számú egyéni választókerület,Gy?r,"2","2","231538.28","781470912.96",,,,,,,,,
Mezőpeterd,Hajdú-Bihar megye,Hajdú-Bihar megye 4. számú egyéni választókerület,Berettyóújfalu,"4","4","248101.54","1787238898.67",,,,,,,,,
Mezősas,Hajdú-Bihar megye,Hajdú-Bihar megye 4. számú egyéni választókerület,Berettyóújfalu,"4","4","248101.54","1787238898.67",,,,,,,,,
Mezőszemere,Heves megye,Heves megye 1. számú egyéni választókerület,Eger,"1","1","217370.11","1044337089.15",,,,,,,,,
Mezőszentgyörgy,Fejér megye,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9",,,,,,,,,
Mezőszilas,Fejér megye,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9",,,,,,,,,
Mezőtárkány,Heves megye,Heves megye 1. számú egyéni választókerület,Eger,"1","1","217370.11","1044337089.15",,,,,,,,,
Mezőtúr,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 4. számú egyéni választókerület,Törökszentmiklós,"4","4","282833.03","1518894211.23",,,,,,,,,
Mezőzombor,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 6. számú egyéni választókerület,Tiszaújváros,"6","6","254720.86","991918862.39",,,,,,,,,
Miháld,Zala megye,Zala megye 3. számú egyéni választókerület,Nagykanizsa,"3","3","239771.43","1265849395.02",,,,,,,,,
Mihályfa,Zala megye,Zala megye 2. számú egyéni választókerület,Zalaegerszeg,"2","2","237580.31","1515462580",,,,,,,,,
Mihálygerge,Nógrád megye,Nógrád megye 2. számú egyéni választókerület,Balassagyarmat,"2","2","314177.45","1591479363.16",,,,,,,,,
Mihályháza,Veszprém megye,Veszprém megye 4. számú egyéni választókerület,Pápa,"4","4","327462.86","1667936709.63",,,,,,,,,
Mihályi,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 3. számú egyéni választókerület,Csorna,"3","3","278671.79","1458283441.58",,,,,,,,,
Mike,Somogy megye,Somogy megye 2. számú egyéni választókerület,Barcs,"2","2","385864.8","2203431215.28",,,,,,,,,
Mikebuda,Pest megye,Pest megye 10. számú egyéni választókerület,Monor,"10","10","174608.84","822113260.42",,,,,,,,,
Mikekarácsonyfa,Zala megye,Zala megye 1. számú egyéni választókerület,Zalaegerszeg,"1","1","193709.35","1002171752.46",,,,,,,,,
Mikepércs,Hajdú-Bihar megye,Hajdú-Bihar megye 4. számú egyéni választókerület,Berettyóújfalu,"4","4","248101.54","1787238898.67",,,,,,,,,
Miklósi,Somogy megye,Somogy megye 4. számú egyéni választókerület,Siófok,"4","4","241496.61","1517737700.32",,,,,,,,,
Mikófalva,Heves megye,Heves megye 2. számú egyéni választókerület,Gyöngyös,"2","2","294095.43","1426893333.66",,,,,,,,,
Mikóháza,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,Sátoraljaújhely,"5","5","356364.78","1981433741.63",,,,,,,,,
Mikosszéplak,Vas megye,Vas megye 3. számú egyéni választókerület,Körmend,"3","3","382801.59","1908928151.62",,,,,,,,,
Milejszeg,Zala megye,Zala megye 1. számú egyéni választókerület,Zalaegerszeg,"1","1","193709.35","1002171752.46",,,,,,,,,
Milota,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,Vásárosnamény,"4","4","305849.6","1461029130.12",,,,,,,,,
Mindszent,Csongrád megye,Csongrád megye 3. számú egyéni választókerület,Szentes,"3","3","253630.48","1781500633.79",,,,,,,,,
Mindszentgodisa,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Mindszentkálla,Veszprém megye,Veszprém megye 3. számú egyéni választókerület,Tapolca,"3","3","233150.16","1119123839.6",,,,,,,,,
Misefa,Zala megye,Zala megye 2. számú egyéni választókerület,Zalaegerszeg,"2","2","237580.31","1515462580",,,,,,,,,
Miske,Bács-Kiskun megye,Bács-Kiskun megye 3. számú egyéni választókerület,Kalocsa,"3","3","241811.87","1478945666.42",,,,,,,,,
Miskolc,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 1. számú egyéni választókerület,Miskolc,"1","1","84784.45","152004724.08",,,,,,,,,
Miszla,Tolna megye,Tolna megye 3. számú egyéni választókerület,Paks,"3","3","323996.54","1491048132.2",,,,,,,,,
Mocsa,Komárom-Esztergom megye,Komárom-Esztergom megye 3. számú egyéni választókerület,Komárom,"3","3","253759.54","1335519263.56",,,,,,,,,
Mogyoród,Pest megye,Pest megye 6. számú egyéni választókerület,Gödöll?,"6","6","151799.27","437040357.1",,,,,,,,,
Mogyorósbánya,Komárom-Esztergom megye,Komárom-Esztergom megye 2. számú egyéni választókerület,Esztergom,"2","2","143042.5","706084275.66",,,,,,,,,
Mogyoróska,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,Sátoraljaújhely,"5","5","356364.78","1981433741.63",,,,,,,,,
Moha,Fejér megye,Fejér megye 2. számú egyéni választókerület,Székesfehérvár,"2","2","188213.17","882699117.23",,,,,,,,,
Mohács,Baranya megye,Baranya megye 3. számú egyéni választókerület,Mohács,"3","3","373572.03","1725421545.77",,,,,,,,,
Mohora,Nógrád megye,Nógrád megye 2. számú egyéni választókerület,Balassagyarmat,"2","2","314177.45","1591479363.16",,,,,,,,,
Molnári,Zala megye,Zala megye 3. számú egyéni választókerület,Nagykanizsa,"3","3","239771.43","1265849395.02",,,,,,,,,
Molnaszecsőd,Vas megye,Vas megye 3. számú egyéni választókerület,Körmend,"3","3","382801.59","1908928151.62",,,,,,,,,
Molvány,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Monaj,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,Kazincbarcika,"4","4","256041.3","1154765077.9",,,,,,,,,
Monok,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 6. számú egyéni választókerület,Tiszaújváros,"6","6","254720.86","991918862.39",,,,,,,,,
Monor,Pest megye,Pest megye 10. számú egyéni választókerület,Monor,"10","10","174608.84","822113260.42",,,,,,,,,
Monorierdő,Pest megye,Pest megye 10. számú egyéni választókerület,Monor,"10","10","174608.84","822113260.42",,,,,,,,,
Mónosbél,Heves megye,Heves megye 2. számú egyéni választókerület,Gyöngyös,"2","2","294095.43","1426893333.66",,,,,,,,,
Monostorapáti,Veszprém megye,Veszprém megye 3. számú egyéni választókerület,Tapolca,"3","3","233150.16","1119123839.6",,,,,,,,,
Monostorpályi,Hajdú-Bihar megye,Hajdú-Bihar megye 4. számú egyéni választókerület,Berettyóújfalu,"4","4","248101.54","1787238898.67",,,,,,,,,
Monoszló,Veszprém megye,Veszprém megye 2. számú egyéni választókerület,Balatonfüred,"2","2","217008.7","908769512.27",,,,,,,,,
Monyoród,Baranya megye,Baranya megye 3. számú egyéni választókerület,Mohács,"3","3","373572.03","1725421545.77",,,,,,,,,
Mór,Fejér megye,Fejér megye 2. számú egyéni választókerület,Székesfehérvár,"2","2","188213.17","882699117.23",,,,,,,,,
Mórágy,Tolna megye,Tolna megye 2. számú egyéni választókerület,Dombóvár,"2","2","338191.78","1375219759.46",,,,,,,,,
Mórahalom,Csongrád megye,Csongrád megye 2. számú egyéni választókerület,Szeged,"2","2","154914.43","815557155.25",,,,,,,,,
Móricgát,Bács-Kiskun megye,Bács-Kiskun megye 4. számú egyéni választókerület,Kiskunfélegyháza,"4","4","324422.08","1876316923.88",,,,,,,,,
Mórichida,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 3. számú egyéni választókerület,Csorna,"3","3","278671.79","1458283441.58",,,,,,,,,
Mosdós,Somogy megye,Somogy megye 1. számú egyéni választókerület,Kaposvár,"1","1","143305.26","493665613.17",,,,,,,,,
Mosonmagyaróvár,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 5. számú egyéni választókerület,Mosonmagyaróvár,"5","5","192506.63","1106619646.19",,,,,,,,,
Mosonszentmiklós,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 5. számú egyéni választókerület,Mosonmagyaróvár,"5","5","192506.63","1106619646.19",,,,,,,,,
Mosonszolnok,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 5. számú egyéni választókerület,Mosonmagyaróvár,"5","5","192506.63","1106619646.19",,,,,,,,,
Mosonudvar,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 5. számú egyéni választókerület,Mosonmagyaróvár,"5","5","192506.63","1106619646.19",,,,,,,,,
Mozsgó,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Mőcsény,Tolna megye,Tolna megye 2. számú egyéni választókerület,Dombóvár,"2","2","338191.78","1375219759.46",,,,,,,,,
Mucsfa,Tolna megye,Tolna megye 2. számú egyéni választókerület,Dombóvár,"2","2","338191.78","1375219759.46",,,,,,,,,
Mucsi,Tolna megye,Tolna megye 2. számú egyéni választókerület,Dombóvár,"2","2","338191.78","1375219759.46",,,,,,,,,
Múcsony,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,Kazincbarcika,"4","4","256041.3","1154765077.9",,,,,,,,,
Muhi,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87",,,,,,,,,
Murakeresztúr,Zala megye,Zala megye 3. számú egyéni választókerület,Nagykanizsa,"3","3","239771.43","1265849395.02",,,,,,,,,
Murarátka,Zala megye,Zala megye 3. számú egyéni választókerület,Nagykanizsa,"3","3","239771.43","1265849395.02",,,,,,,,,
Muraszemenye,Zala megye,Zala megye 3. számú egyéni választókerület,Nagykanizsa,"3","3","239771.43","1265849395.02",,,,,,,,,
Murga,Tolna megye,Tolna megye 2. számú egyéni választókerület,Dombóvár,"2","2","338191.78","1375219759.46",,,,,,,,,
Murony,Békés megye,Békés megye 2. számú egyéni választókerület,Békés,"2","2","301741.74","1712972309.7",,,,,,,,,
Nábrád,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,Vásárosnamény,"4","4","305849.6","1461029130.12",,,,,,,,,
Nadap,Fejér megye,Fejér megye 3. számú egyéni választókerület,Bicske,"3","3","219689.81","1205529615.78",,,,,,,,,
Nádasd,Vas megye,Vas megye 3. számú egyéni választókerület,Körmend,"3","3","382801.59","1908928151.62",,,,,,,,,
Nádasdladány,Fejér megye,Fejér megye 2. számú egyéni választókerület,Székesfehérvár,"2","2","188213.17","882699117.23",,,,,,,,,
Nádudvar,Hajdú-Bihar megye,Hajdú-Bihar megye 5. számú egyéni választókerület,Hajdúszoboszló,"5","5","268216.99","1790319545.19",,,,,,,,,
Nágocs,Somogy megye,Somogy megye 4. számú egyéni választókerület,Siófok,"4","4","241496.61","1517737700.32",,,,,,,,,
Nagyacsád,Veszprém megye,Veszprém megye 4. számú egyéni választókerület,Pápa,"4","4","327462.86","1667936709.63",,,,,,,,,
Nagyalásony,Veszprém megye,Veszprém megye 4. számú egyéni választókerület,Pápa,"4","4","327462.86","1667936709.63",,,,,,,,,
Nagyar,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,Vásárosnamény,"4","4","305849.6","1461029130.12",,,,,,,,,
Nagyatád,Somogy megye,Somogy megye 2. számú egyéni választókerület,Barcs,"2","2","385864.8","2203431215.28",,,,,,,,,
Nagybajcs,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 1. számú egyéni választókerület,Gy?r,"1","1","68903.8","145360832.28",,,,,,,,,
Nagybajom,Somogy megye,Somogy megye 3. számú egyéni választókerület,Marcali,"3","3","241544.76","1849815082.56",,,,,,,,,
Nagybakónak,Zala megye,Zala megye 3. számú egyéni választókerület,Nagykanizsa,"3","3","239771.43","1265849395.02",,,,,,,,,
Nagybánhegyes,Békés megye,Békés megye 4. számú egyéni választókerület,Orosháza,"4","4","243942.22","1650630924.98",,,,,,,,,
Nagybaracska,Bács-Kiskun megye,Bács-Kiskun megye 6. számú egyéni választókerület,Baja,"6","6","277807.08","1428092680.64",,,,,,,,,
Nagybarca,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,Kazincbarcika,"4","4","256041.3","1154765077.9",,,,,,,,,
Nagybárkány,Nógrád megye,Nógrád megye 1. számú egyéni választókerület,Salgótarján,"1","1","245875.8","952705607.42",,,,,,,,,
Nagyberény,Somogy megye,Somogy megye 4. számú egyéni választókerület,Siófok,"4","4","241496.61","1517737700.32",,,,,,,,,
Nagyberki,Somogy megye,Somogy megye 1. számú egyéni választókerület,Kaposvár,"1","1","143305.26","493665613.17",,,,,,,,,
Nagybörzsöny,Pest megye,Pest megye 4. számú egyéni választókerület,Vác,"4","4","203058.39","789686669.4",,,,,,,,,
Nagybudmér,Baranya megye,Baranya megye 3. számú egyéni választókerület,Mohács,"3","3","373572.03","1725421545.77",,,,,,,,,
Nagycenk,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 4. számú egyéni választókerület,Sopron,"4","4","199494.44","716220845.21",,,,,,,,,
Nagycsány,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Nagycsécs,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87",,,,,,,,,
Nagycsepely,Somogy megye,Somogy megye 4. számú egyéni választókerület,Siófok,"4","4","241496.61","1517737700.32",,,,,,,,,
Nagycserkesz,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 2. számú egyéni választókerület,Nyíregyháza,"2","2","237283.37","1045674689.21",,,,,,,,,
Nagydém,Veszprém megye,Veszprém megye 4. számú egyéni választókerület,Pápa,"4","4","327462.86","1667936709.63",,,,,,,,,
Nagydobos,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,Vásárosnamény,"4","4","305849.6","1461029130.12",,,,,,,,,
Nagydobsza,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Nagydorog,Tolna megye,Tolna megye 3. számú egyéni választókerület,Paks,"3","3","323996.54","1491048132.2",,,,,,,,,
Nagyecsed,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 5. számú egyéni választókerület,Mátészalka,"5","5","250856.48","1030794528.1",,,,,,,,,
Nagyér,Csongrád megye,Csongrád megye 4. számú egyéni választókerület,Hódmez?vásárhely,"4","4","226575.24","1412615266.57",,,,,,,,,
Nagyesztergár,Veszprém megye,Veszprém megye 4. számú egyéni választókerület,Pápa,"4","4","327462.86","1667936709.63",,,,,,,,,
Nagyfüged,Heves megye,Heves megye 3. számú egyéni választókerület,Hatvan,"3","3","300580.69","1165920670.41",,,,,,,,,
Nagygeresd,Vas megye,Vas megye 2. számú egyéni választókerület,Sárvár,"2","2","257181.03","1198863917.81",,,,,,,,,
Nagygörbő,Zala megye,Zala megye 2. számú egyéni választókerület,Zalaegerszeg,"2","2","237580.31","1515462580",,,,,,,,,
Nagygyimót,Veszprém megye,Veszprém megye 4. számú egyéni választókerület,Pápa,"4","4","327462.86","1667936709.63",,,,,,,,,
Nagyhajmás,Baranya megye,Baranya megye 3. számú egyéni választókerület,Mohács,"3","3","373572.03","1725421545.77",,,,,,,,,
Nagyhalász,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 3. számú egyéni választókerület,Kisvárda,"3","3","214781.28","961349337.84",,,,,,,,,
Nagyharsány,Baranya megye,Baranya megye 3. számú egyéni választókerület,Mohács,"3","3","373572.03","1725421545.77",,,,,,,,,
Nagyhegyes,Hajdú-Bihar megye,Hajdú-Bihar megye 5. számú egyéni választókerület,Hajdúszoboszló,"5","5","268216.99","1790319545.19",,,,,,,,,
Nagyhódos,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,Vásárosnamény,"4","4","305849.6","1461029130.12",,,,,,,,,
Nagyhuta,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,Sátoraljaújhely,"5","5","356364.78","1981433741.63",,,,,,,,,
Nagyigmánd,Komárom-Esztergom megye,Komárom-Esztergom megye 3. számú egyéni választókerület,Komárom,"3","3","253759.54","1335519263.56",,,,,,,,,
Nagyiván,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 3. számú egyéni választókerület,Karcag,"3","3","269415.19","2046720320.43",,,,,,,,,
Nagykálló,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 6. számú egyéni választókerület,Nyírbátor,"6","6","252712.99","1327233312.92",,,,,,,,,
Nagykamarás,Békés megye,Békés megye 4. számú egyéni választókerület,Orosháza,"4","4","243942.22","1650630924.98",,,,,,,,,
Nagykanizsa,Zala megye,Zala megye 3. számú egyéni választókerület,Nagykanizsa,"3","3","239771.43","1265849395.02",,,,,,,,,
Nagykapornak,Zala megye,Zala megye 2. számú egyéni választókerület,Zalaegerszeg,"2","2","237580.31","1515462580",,,,,,,,,
Nagykarácsony,Fejér megye,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9",,,,,,,,,
Nagykáta,Pest megye,Pest megye 9. számú egyéni választókerület,Nagykáta,"9","9","186619.94","913452399.81",,,,,,,,,
Nagykereki,Hajdú-Bihar megye,Hajdú-Bihar megye 4. számú egyéni választókerület,Berettyóújfalu,"4","4","248101.54","1787238898.67",,,,,,,,,
Nagykeresztúr,Nógrád megye,Nógrád megye 1. számú egyéni választókerület,Salgótarján,"1","1","245875.8","952705607.42",,,,,,,,,
Nagykinizs,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 6. számú egyéni választókerület,Tiszaújváros,"6","6","254720.86","991918862.39",,,,,,,,,
Nagykónyi,Tolna megye,Tolna megye 2. számú egyéni választókerület,Dombóvár,"2","2","338191.78","1375219759.46",,,,,,,,,
Nagykorpád,Somogy megye,Somogy megye 2. számú egyéni választókerület,Barcs,"2","2","385864.8","2203431215.28",,,,,,,,,
Nagykovácsi,Pest megye,Pest megye 2. számú egyéni választókerület,Budakeszi,"2","2","121726.3","363371498.49",,,,,,,,,
Nagykozár,Baranya megye,Baranya megye 2. számú egyéni választókerület,Pécs,"2","2","160289.34","344699531.57",,,,,,,,,
Nagykökényes,Heves megye,Heves megye 3. számú egyéni választókerület,Hatvan,"3","3","300580.69","1165920670.41",,,,,,,,,
Nagykölked,Vas megye,Vas megye 3. számú egyéni választókerület,Körmend,"3","3","382801.59","1908928151.62",,,,,,,,,
Nagykőrös,Pest megye,Pest megye 12. számú egyéni választókerület,Cegléd,"12","12","154034.17","1022178507.64",,,,,,,,,
Nagykörű,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 1. számú egyéni választókerület,Szolnok,"1","1","202023.51","704327243.22",,,,,,,,,
Nagykutas,Zala megye,Zala megye 1. számú egyéni választókerület,Zalaegerszeg,"1","1","193709.35","1002171752.46",,,,,,,,,
Nagylak,Csongrád megye,Csongrád megye 4. számú egyéni választókerület,Hódmez?vásárhely,"4","4","226575.24","1412615266.57",,,,,,,,,
Nagylengyel,Zala megye,Zala megye 1. számú egyéni választókerület,Zalaegerszeg,"1","1","193709.35","1002171752.46",,,,,,,,,
Nagylóc,Nógrád megye,Nógrád megye 2. számú egyéni választókerület,Balassagyarmat,"2","2","314177.45","1591479363.16",,,,,,,,,
Nagylók,Fejér megye,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9",,,,,,,,,
Nagylózs,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 4. számú egyéni választókerület,Sopron,"4","4","199494.44","716220845.21",,,,,,,,,
Nagymágocs,Csongrád megye,Csongrád megye 3. számú egyéni választókerület,Szentes,"3","3","253630.48","1781500633.79",,,,,,,,,
Nagymányok,Tolna megye,Tolna megye 2. számú egyéni választókerület,Dombóvár,"2","2","338191.78","1375219759.46",,,,,,,,,
Nagymaros,Pest megye,Pest megye 4. számú egyéni választókerület,Vác,"4","4","203058.39","789686669.4",,,,,,,,,
Nagymizdó,Vas megye,Vas megye 3. számú egyéni választókerület,Körmend,"3","3","382801.59","1908928151.62",,,,,,,,,
Nagynyárád,Baranya megye,Baranya megye 3. számú egyéni választókerület,Mohács,"3","3","373572.03","1725421545.77",,,,,,,,,
Nagyoroszi,Nógrád megye,Nógrád megye 2. számú egyéni választókerület,Balassagyarmat,"2","2","314177.45","1591479363.16",,,,,,,,,
Nagypáli,Zala megye,Zala megye 1. számú egyéni választókerület,Zalaegerszeg,"1","1","193709.35","1002171752.46",,,,,,,,,
Nagypall,Baranya megye,Baranya megye 3. számú egyéni választókerület,Mohács,"3","3","373572.03","1725421545.77",,,,,,,,,
Nagypeterd,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Nagypirit,Veszprém megye,Veszprém megye 4. számú egyéni választókerület,Pápa,"4","4","327462.86","1667936709.63",,,,,,,,,
Nagyrábé,Hajdú-Bihar megye,Hajdú-Bihar megye 4. számú egyéni választókerület,Berettyóújfalu,"4","4","248101.54","1787238898.67",,,,,,,,,
Nagyrada,Zala megye,Zala megye 2. számú egyéni választókerület,Zalaegerszeg,"2","2","237580.31","1515462580",,,,,,,,,
Nagyrákos,Vas megye,Vas megye 3. számú egyéni választókerület,Körmend,"3","3","382801.59","1908928151.62",,,,,,,,,
Nagyrécse,Zala megye,Zala megye 3. számú egyéni választókerület,Nagykanizsa,"3","3","239771.43","1265849395.02",,,,,,,,,
Nagyréde,Heves megye,Heves megye 3. számú egyéni választókerület,Hatvan,"3","3","300580.69","1165920670.41",,,,,,,,,
Nagyrév,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 4. számú egyéni választókerület,Törökszentmiklós,"4","4","282833.03","1518894211.23",,,,,,,,,
Nagyrozvágy,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,Sátoraljaújhely,"5","5","356364.78","1981433741.63",,,,,,,,,
Nagysáp,Komárom-Esztergom megye,Komárom-Esztergom megye 2. számú egyéni választókerület,Esztergom,"2","2","143042.5","706084275.66",,,,,,,,,
Nagysimonyi,Vas megye,Vas megye 2. számú egyéni választókerület,Sárvár,"2","2","257181.03","1198863917.81",,,,,,,,,
Nagyszakácsi,Somogy megye,Somogy megye 3. számú egyéni választókerület,Marcali,"3","3","241544.76","1849815082.56",,,,,,,,,
Nagyszékely,Tolna megye,Tolna megye 3. számú egyéni választókerület,Paks,"3","3","323996.54","1491048132.2",,,,,,,,,
